,track_uri,track_name,artist_uri,artist_info,artist_name,artist_pop,artist_genres,album,track_pop,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature,happy
87,spotify:track:7JKW0gH84HWAyDEBQgsNbX,Don't Go Puttin Wishes in My Head,spotify:artist:3lrDYjsghBMfUTiLziD9q9,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/3lrDYjsghBMfUTiLziD9q9'}, 'followers': {'href': None, 'total': 52025}, 'genres': ['art pop'], 'href': 'https://api.spotify.com/v1/artists/3lrDYjsghBMfUTiLziD9q9', 'id': '3lrDYjsghBMfUTiLziD9q9', 'images': [{'url': 'https://i.scdn.co/image/ab6761610000e5eb0c51f31407c4f2b377bad22a', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051740c51f31407c4f2b377bad22a', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1780c51f31407c4f2b377bad22a', 'height': 160, 'width': 160}], 'name': 'TORRES', 'popularity': 34, 'type': 'artist', 'uri': 'spotify:artist:3lrDYjsghBMfUTiLziD9q9'}",TORRES,34,['art pop'],Thirstier,31,0.464,0.737,0,-8.222,1,0.0318,2.37e-05,0.00019,0.224,0.0605,136.005,7JKW0gH84HWAyDEBQgsNbX,spotify:track:7JKW0gH84HWAyDEBQgsNbX,https://api.spotify.com/v1/tracks/7JKW0gH84HWAyDEBQgsNbX,https://api.spotify.com/v1/audio-analysis/7JKW0gH84HWAyDEBQgsNbX,261942,4,no
56,spotify:track:3eJyXwiYepWvEDKABhm7lL,If I Had a Heart,spotify:artist:5hE6NCoobhyEu6TRSbjOJY,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5hE6NCoobhyEu6TRSbjOJY'}, 'followers': {'href': None, 'total': 469387}, 'genres': ['alternative dance', 'art pop', 'dark pop', 'electronica', 'neo-synthpop', 'swedish electropop', 'swedish synth', 'swedish synthpop'], 'href': 'https://api.spotify.com/v1/artists/5hE6NCoobhyEu6TRSbjOJY', 'id': '5hE6NCoobhyEu6TRSbjOJY', 'images': [{'url': 'https://i.scdn.co/image/ab6761610000e5eb378026e008575db882ae6f3f', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174378026e008575db882ae6f3f', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178378026e008575db882ae6f3f', 'height': 160, 'width': 160}], 'name': 'Fever Ray', 'popularity': 51, 'type': 'artist', 'uri': 'spotify:artist:5hE6NCoobhyEu6TRSbjOJY'}",Fever Ray,51,"['alternative dance', 'art pop', 'dark pop', 'electronica', 'neo-synthpop', 'swedish electropop', 'swedish synth', 'swedish synthpop']",Fever Ray,53,0.403,0.241,4,-16.17,1,0.0296,0.789,0.792,0.108,0.138,170.134,3eJyXwiYepWvEDKABhm7lL,spotify:track:3eJyXwiYepWvEDKABhm7lL,https://api.spotify.com/v1/tracks/3eJyXwiYepWvEDKABhm7lL,https://api.spotify.com/v1/audio-analysis/3eJyXwiYepWvEDKABhm7lL,229933,4,no
60,spotify:track:2IuepwvMuaTlNN0DSgVsCg,Royals,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/163tK9Wjr9P9DmM0AVK7lm'}, 'followers': {'href': None, 'total': 10058882}, 'genres': ['art pop', 'metropopolis', 'nz pop', 'pop'], 'href': 'https://api.spotify.com/v1/artists/163tK9Wjr9P9DmM0AVK7lm', 'id': '163tK9Wjr9P9DmM0AVK7lm', 'images': [{'url': 'https://i.scdn.co/image/ab6761610000e5ebc4902f080d3620b3e6da80c3', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab67616100005174c4902f080d3620b3e6da80c3', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f178c4902f080d3620b3e6da80c3', 'height': 160, 'width': 160}], 'name': 'Lorde', 'popularity': 78, 'type': 'artist', 'uri': 'spotify:artist:163tK9Wjr9P9DmM0AVK7lm'}",Lorde,78,"['art pop', 'metropopolis', 'nz pop', 'pop']",Pure Heroine,31,0.62,0.42,7,-10.163,1,0.157,0.0774,0.0,0.294,0.355,84.825,2IuepwvMuaTlNN0DSgVsCg,spotify:track:2IuepwvMuaTlNN0DSgVsCg,https://api.spotify.com/v1/tracks/2IuepwvMuaTlNN0DSgVsCg,https://api.spotify.com/v1/audio-analysis/2IuepwvMuaTlNN0DSgVsCg,189440,4,no
85,spotify:track:7I20yqgoGEEfXBK8YNICJ8,Life Is,spotify:artist:5KTykbPcDB4GYS49jcHbWh,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5KTykbPcDB4GYS49jcHbWh'}, 'followers': {'href': None, 'total': 135139}, 'genres': ['ambient folk', 'art pop', 'freak folk'], 'href': 'https://api.spotify.com/v1/artists/5KTykbPcDB4GYS49jcHbWh', 'id': '5KTykbPcDB4GYS49jcHbWh', 'images': [{'url': 'https://i.scdn.co/image/ab6761610000e5eb98685f8a4f1d712010a566e9', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab6761610000517498685f8a4f1d712010a566e9', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f17898685f8a4f1d712010a566e9', 'height': 160, 'width': 160}], 'name': 'Jessica Pratt', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:5KTykbPcDB4GYS49jcHbWh'}",Jessica Pratt,62,"['ambient folk', 'art pop', 'freak folk']",Here in the Pitch,49,0.678,0.338,2,-11.926,1,0.0256,0.75,0.00584,0.0639,0.38,103.985,7I20yqgoGEEfXBK8YNICJ8,spotify:track:7I20yqgoGEEfXBK8YNICJ8,https://api.spotify.com/v1/tracks/7I20yqgoGEEfXBK8YNICJ8,https://api.spotify.com/v1/audio-analysis/7I20yqgoGEEfXBK8YNICJ8,188293,4,no
81,spotify:track:1vgSaC0BPlL6LEm4Xsx59J,An Ending (Ascent) - Remastered 2005,spotify:artist:7MSUfLeTdDEoZiJPDSBXgi,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/7MSUfLeTdDEoZiJPDSBXgi'}, 'followers': {'href': None, 'total': 763896}, 'genres': ['abstract', 'ambient', 'art pop', 'art rock', 'compositional ambient', 'experimental', 'experimental ambient', 'fourth world', 'glam rock', 'minimalism', 'singer-songwriter'], 'href': 'https://api.spotify.com/v1/artists/7MSUfLeTdDEoZiJPDSBXgi', 'id': '7MSUfLeTdDEoZiJPDSBXgi', 'images': [{'url': 'https://i.scdn.co/image/ab6761610000e5eb5533ce5711f95f0c436b30fe', 'height': 640, 'width': 640}, {'url': 'https://i.scdn.co/image/ab676161000051745533ce5711f95f0c436b30fe', 'height': 320, 'width': 320}, {'url': 'https://i.scdn.co/image/ab6761610000f1785533ce5711f95f0c436b30fe', 'height': 160, 'width': 160}], 'name': 'Brian Eno', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:7MSUfLeTdDEoZiJPDSBXgi'}",Brian Eno,62,"['abstract', 'ambient', 'art pop', 'art rock', 'compositional ambient', 'experimental', 'experimental ambient', 'fourth world', 'glam rock', 'minimalism', 'singer-songwriter']",Apollo,54,0.257,0.0906,8,-25.381,1,0.07,0.932,0.985,0.0786,0.0451,67.46,1vgSaC0BPlL6LEm4Xsx59J,spotify:track:1vgSaC0BPlL6LEm4Xsx59J,https://api.spotify.com/v1/tracks/1vgSaC0BPlL6LEm4Xsx59J,https://api.spotify.com/v1/audio-analysis/1vgSaC0BPlL6LEm4Xsx59J,266200,3,no
